  years of   study in 2017 E.C,Academic program (Bsc),Age,Could you briefly share In what ways have these experiences shaped your academic choices and career development? ,Sum of Cumulative GPA,Do you want to participate in the research interview?,Fields,Gender,Have you participated in any of the following exposure experiences? (Select all that apply),Sum of How have Career fairs exposure influenced your career choices? ,Sum of How have Family influenced your career choices? ,Sum of How have Friends influenced your career choices? ,Sum of How have Internships exposure influenced your career choices?,Sum of How have Job shadowing exposure influenced your career choices?,Sum of How have Mentorship programs exposure influenced your career choices?,Sum of How have University coursework exposure influenced your career choices? ,Sum of How often do you use the career guidance services offered by the university?,Sum of How satisfied are you with the career guidance services provided by the university?,I picked my academic program primarily because of my grades,Language,Study_Category,Sum of To what extent do you feel that your exposure experiences have provided a clear sense of direction for your career?,What additional types of exposure experiences do you think the university should offer to better support students' career development?,What additional types of exposure experiences do you think the university should offer to better support students' career development?.1,What improvements would you suggest for the university’s career guidance services?,Which University are you enrolled in?
1,CS,18-20,"These experiences have greatly influenced my academic choices and career development. Through participating in extracurricular activities, I have developed leadership skills, teamwork abilities, and a strong work ethic. These skills have translated into my academic pursuits, where I have taken on leadership roles in group projects and demonstrated a strong commitment to my studies.",3.70,Yes,STEM,Male,"InternshipsJob shadowing, Mentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks,",4,3,3,5,2,4,3,3,3,Yes,English,Lower,3,No response,No response,"To improve university career guidance services:
Personalized Counseling: Offer tailored one-on-one sessions.
Mentorship Programs: Connect students with industry professionals.
Skill Workshops: Provide training in both soft and hard skills.
Stronger Placement Support: Enhance partnerships for internships and jobs.
Alumni Networking: Facilitate connections between students and alumni.",AAU
1,CS,21-23,Knowing the purpose is crucial to the disease,3.70,Yes,STEM,Male,Internships,4,2,4,5,2,2,5,4,4,No,Amharic,Lower,2,No response,No response,If it's more likely to be repeatedly repeated,St. Mary's  University
1,Fresh Man,21-23,"Family, Friends and Carrier fairs has influenced me by showing me the pros and Cons of my carrier options.",3.50,Yes,Other,Female,"Mentorship programs, Searching professionals through social networks",3,5,5,2,3,2,2,1,3,No,English,Lower,3,"Networking Events
Field Trips",No response,"Since I am new to the University I haven't experienced much of it, but I recommend them to expose students to what the Industry needs in real life.",Mekelle University
1,Hotel Management,27 and above,Continue to helping our community,2.50,Yes,Business & Economics,Male,"InternshipsJob shadowing, Mentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks,",3,3,3,3,3,3,3,2,4,Yes,English,Lower,3,Learning kNo responsewledge,Learning knowledge,Gaining learning,Gambella University
1,Information Systems,18-20,"The concept influenced my Choice of career,  I want to create my own startup and Learing how to develop Bussiness and administrate the department am in is really worth it to execute my plan",3.50,Yes,STEM,Male,Internships,5,1,2,4,2,5,1,1,3,No,English,Lower,4,Developing and teaching a Batch of Great thinkers and Enterprenures instead of a batch of workers,No response,If they teach us To think critically and Measure our intelligence by our creativity not memorizing ability,AAU
1,Information Technology,21-23,It does not,3.10,Yes,STEM,Male,Internships,1,1,1,1,1,1,1,5,3,Yes,Amharic,Lower,3,Focusing on task learning,Focusing on task learning,it changed me,Admas University
1,Marketing Management,21-23,It has an impact on the most sense because these experiences helped me know much about me.,2.10,No,Business & Economics,Female,Job shadowing,4,3,1,4,4,3,4,3,3,No,English,Lower,4,To make new things try out,To make new things try out,It's cool,Admas University
1,MSc,24-26,no,3.90,Yes,Other,Male,Internships,3,3,3,2,4,3,4,3,3,Yes,English,Lower,3,No response,No response,no,AAU
1,MSc,24-26,No response,3.60,Yes,Other,Male,Searching professionals through social networks,5,5,5,5,5,5,5,5,5,Yes,English,Lower,5,Good,Good,good,Haramaya University
1,MSc,27 and above,Policy Analysis,2.70,Yes,Other,Male,InternshipsSearching professionals through social networks,1,1,2,1,1,2,1,2,2,Yes,English,Lower,3,No response,No response,My lecherous,AAU
1,Natural Sciences,18-20,By changing my mind,2.50,Yes,Other,Male,No,2,5,4,5,4,5,4,1,1,No,English,Lower,5,Despite the provision of education,Despite the provision of education,nothing else,Injibara University
1,Not yet decided,18-20,"My choice was influenced in a good way rather than a bad way. It definitely has helped me realize experience is key, in any field. So I am trying to do that as much as possible.",3.50,Yes,Other,Female,Searching professionals through social networks,1,5,4,1,1,5,1,1,1,No,English,Lower,4,No response,No response,"I have never heard of a career guidance service in our university but if they do exist, I would suggest them to market themselves more, to be accessible to all.",AAU
1,Pharmacy,18-20,"In particular, I do not think there is only some sets of things that have impact on what I choose to learn, especially in Ethiopia. But, the ones above are common and can and have made a pivotal impact on my choices and doings.",4.00,No,Health & Medicine,Male,InternshipsSearching professionals through social networks,5,4,4,4,5,5,5,1,1,Yes,English,Lower,4,No response,No response,I suggest they make a dedicated career guidance team with a good quality and also have quantities to attend to the student mass in respective universities.,Hawassa University
1,Pharmacy,21-23,It taught me a little bit,3.70,Yes,Health & Medicine,Female,Internships,3,1,1,3,3,3,3,3,3,No,Amharic,Lower,3,To teach students more and teaching students,To teach students more and teaching students,If a student do not,Haramaya University
1,pre engineering,18-20,By helping,3.50,No,STEM,Female,Nothing,1,5,5,1,1,1,1,2,2,No,Amharic,Lower,1,Respect for the needs and preference,No response,If you use better technology,ASTU
1,SE,18-20,Bc I'm passionate about my field since when i was elementary school.,3.90,Yes,STEM,Male,"University coursework related to career development, Searching professionals through social networks",1,1,2,1,1,3,5,4,2,No,English,Lower,4,I think it's better to held a conference and invite successful people in our field.,No response,Maybe it's better if they have a full equipment and skillful instructor's.,AAU
1,SE,18-20,"Because i am surrounded with people who code and program , i also started to the same which eventually leading to choose that as my major.",3.96,Yes,STEM,Female,"InternshipsUniversity coursework related to career development, Volunteer",1,4,4,4,1,1,3,2,3,No,English,Lower,2,No response,No response,I wish there were more experience sharing specially with seniors and more opportunities to know more about the field.   .,AAU
1,SE,18-20,In a problem,3.60,Yes,STEM,Male,"University coursework related to career development,",1,1,1,1,1,1,1,1,5,No,Amharic,Lower,1,In my name,In my name,Work,Haramaya University
1,SE,18-20,"Internships have provided me with unparalleled exposure to the real-world application of software engineering principles. They allowed me to bridge the gap between theory and practice, providing hands-on experience in coding, problem-solving, and working in teams. The fast-paced, dynamic nature of these environments pushed me to develop new skills, adapt quickly to different technologies, and contribute to meaningful projects. The challenges I encountered during my internships gave me insight into industry trends, helping me refine my academic goals and career aspirations. Through these experiences, I developed a deeper passion for software engineering, particularly in areas like software development, system architecture, and coding efficiency.

Mentorship programs have been another critical factor in my career development. Having access to experienced professionals who offered guidance and advice allowed me to navigate the complexities of the software engineering industry with greater clarity. My mentors helped me identify my strengths and areas for improvement, encouraged me to pursue challenging opportunities, and gave me valuable feedback on my projects. Their insights on both technical skills and career planning have been instrumental in helping me make informed decisions about the direction of my academic journey and career.

University coursework also played a significant role in shaping my career. Courses in data structures, algorithms, software design, and computer systems provided the theoretical foundation for my work as a software engineer. In particular, project-based courses that mimicked real-world scenarios gave me the chance to apply my knowledge and collaborate with peers. The combination of rigorous coursework and collaborative projects helped me gain a solid understanding of core concepts, equipping me with the skills I needed to succeed in internships and, later, in the workplace.

Job shadowing and career fairs offered additional perspectives, enabling me to explore different career paths within software engineering. Observing professionals in action during job shadowing experiences allowed me to better understand the day-to-day responsibilities and workflows in various roles, from software developers to system analysts. Career fairs introduced me to potential employers, exposing me to a range of companies and technologies, and helping me gauge what different organizations expect from software engineers.

The encouragement and support of my family and friends have been crucial throughout this process. Their belief in my abilities has kept me motivated during challenging times and inspired me to persevere through difficult academic and professional milestones.",3.90,Yes,STEM,Male,"InternshipsMentorship programs, Research",4,3,3,5,3,4,5,4,5,No,English,Lower,5,"One critical experience universities should offer is internships integrated into academic programs. While internships are common, they are often treated as extracurricular activities. If universities partnered with companies to provide structured, credit-bearing internships, students would gain hands-on experience that complements their academic learning. This could be extended to offer a wider variety of internship opportunities in industries that are growing, such as techNo responselogy, renewable energy, and healthcare, allowing students to explore diverse career paths.

entrepreneurship programs should be prioritized. Many students have inNo responsevative ideas but lack the practical kNo responsewledge to turn them into viable businesses. By offering incubators, mentorship, and access to startup funding, universities can nurture entrepreneurial skills, helping students create their own career paths.",No response,"enhancing the quality and accessibility of workshops and resources can provide students with better tools to navigate the complexities of their future careers. This essay will outline several ways in which AAU’s career guidance services can be improved, focusing on the areas of workshops and resources.",AAU
1,SE,18-20,No responsermal,4.00,No,STEM,Female,Mentorship programs,1,2,2,2,3,1,1,3,4,Yes,Amharic,Lower,3,Djth,No response,Gdd,AAU
1,Sociology,21-23,"I've never participated in internships, job shadowing, career fairs, mentorship programs or anything remotely related to career choices. The choice I've made, I made because of interest..",3.80,Yes,Social Sciences & Humanities,Male,Job shadowing,1,1,3,1,1,1,1,2,1,No,English,Lower,1,No response,No response,Develop programs that help students make better career choices based on their interest and job market during freshman years.,Adigrat University
1,Surveying Engineering,18-20,When I joined the university my cousin was last year student and his friend told me how he likes my current department and made me to put in the third position while submitting our department preference to registrar. The first and second was electrical and mechanical engineering but I haven't awarded due to the grade 12 result I scored.,3.80,No,STEM,Male,Searching professionals through social networks,1,5,5,1,1,1,1,3,2,Yes,English,Lower,2,"The first thing I want mention here is that, we engineering student force to study the department they gave us rather what we have planned to study when we join the university. So, focus only to complete and to graduate from that university rather than making our self competent, because what we love to do isn't found in the department they gave us it is found in what we have planned to study.",No response,They are only based on tech savvy students and who lives in Addis Ababa and around.,Arba Minch University
2,Accounting and Finance,18-20,No response,4.00,No,Business & Economics,Female,University coursework related to career development,1,4,1,1,1,1,3,2,1,No,English,Lower,3,Nothing,No response,Nothing,AAU
2,Aeronautical Engineering,18-20,"Family influence has also been key, inspiring my passion for aviation and supporting my aspirations",3.58,Yes,STEM,Male,Searching professionals through social networks,2,5,1,5,4,3,4,3,2,No,English,Lower,3,guest speakers,No response,to start early, Ethiopian Aviation University
2,Architecture,18-20,Were cool,3.40,No,Arts & Design,Male,Internships,2,1,1,1,4,3,4,4,3,No,Amharic,Lower,2,No response,No response,Are cool in school,Dire Dawa University
2,BSc,18-20,'-----,3.76,No,Other,Female,Searching professionals through social networks,1,1,1,1,3,1,3,3,5,Yes,English,Lower,4,'--------,No response,'---,Hope Enterprize University
2,BSc,18-20,"At first, what i wanted was jornalism but, my mom always kept saying jornalist always lie and don want me to join that feild plus i thought abt it and get confused what department i should join then asked my bigger sibiling she said go to GaDS(my current department) so then yeah am here i lov managment and leadrship but i din think that am gonna be governor or sth like that but if it is by this way amma gonna be in areas like deplomacy, foreign relation part if not gonna partivipate on add promotion hosting...
So ii us not shapinh aftrr all!!",3.10,Yes,Other,Female,"InternshipsJob shadowing, Mentorship programs, Career fairs, Searching professionals through social networks,",1,3,1,2,3,3,3,1,1,Yes,English,Lower,2,"I believ every collage of the university hv to hv it's own exposure distribution ways like clubs,traininhs...such alike","I believ every collage of the university hv to hv it's own exposure distribution ways like clubs,traininhs...such alike",Do they even exist?,Hawassa University
2,BSc,18-20,Content creating at e-commerce company for 7 months and at handicrafts  for No response monthes,2.80,Yes,Other,Female,Career fairs,5,1,1,5,5,5,1,3,2,No,English,Lower,4,I suggest If there is an interneship time before they graduated as the course they took,I suggest If there is an interneship time before they graduated as the course they took,Improve the course they take as at job,Kotebe University of Education
2,BSc,18-20,I must they for university students of just second year I don't have much exposure to them so almost none,3.10,No,Other,Female,University coursework related to career development,4,1,1,3,1,1,4,3,3,Yes,English,Lower,3,No response,No response,For them to make us more farsighted by elaborating the filed we joined,AASTU
2,BSc,18-20,Some of my family members and friends push me to join some specific fields which are not my preference.,2.50,Yes,Other,Male,Internships,4,3,3,4,3,4,3,2,3,Yes,English,Lower,4,No response,No response,To prepare students in different aspects which help the students to know how to face problems that are found while joining the work environment.,ASTU
2,BSc,21-23,2nd,3.70,Yes,Other,Male,No,5,4,4,3,5,5,4,2,2,Yes,English,Lower,4,No response,No response,Rule DEVELOPMENT,University of Kabridahar
2,BSc,21-23,Did not,3.20,Yes,Other,Female,Internships,1,2,1,1,1,1,1,5,5,Yes,Amharic,Lower,3,No response,No response,nothing else,Gondar University
2,BSc,21-23,I wanted to do something I love and enjoy.,3.90,No,Other,Male,"Mentorship programs, University coursework related to career development",1,1,5,4,1,4,5,1,3,No,English,Lower,5,Experienced Mentors and career advisors.,No response,I wish we had the opportunity to see more of the works we will face when we graduate.,AAU
2,BSc,21-23,"My career and the choices I've made are driven by my deep passion for what I do. This passion fuels my dedication and commitment, guiding me through the challenges and successes. It inspires me to continually learn, grow, and excel in my field. With a strong sense of purpose, I strive to make a meaningful impact and contribute positively to my industry and community.",3.50,Yes,Other,Male,Internships,5,5,5,5,5,5,2,1,2,No,English,Lower,4,No response,No response,it's help full,St. Mary's University
2,BSc's Bsc,18-20,They gave me insight what should i join,3.93,No,Other,Male,"Mentorship programs, University coursework related to career development, Searching professionals through social networks",2,2,3,1,2,3,4,1,1,No,English,Lower,3,No response,No response,There should be community of the same career to guide us,AAU
2,Computer  science,18-20,It does not give enough time to learn what you need,3.98,No,STEM,Male,Mentorship programs,3,4,4,3,4,4,5,3,3,No,Amharic,Lower,3,No response,No response,If a program,AAU
2,Computer Science,21-23,I'm junior in frontend developer,3.50,Yes,STEM,Male,"Career fairs, Searching professionals through social networks",5,2,1,4,4,4,5,4,4,Yes,English,Lower,4,No response,No response,Practical lab,Haramaya University
2,CS,18-20,Can't talk,3.95,No,STEM,Male,"InternshipsMentorship programs, Career fairs, Searching professionals through social networks",4,3,5,4,4,5,2,1,3,No,English,Lower,5,Clubs for start up incubation,No response,Nothing,AAU
2,CS,18-20,Enables to be Allrounded Person,3.98,No,STEM,Male,Volunteer Graphics Designer,3,2,2,4,4,4,4,3,1,No,Amharic,Lower,3,No response,No response,Club Should Be Organized Formally and Must Have Leader Not Boss,AAU
2,CS,18-20,In some extent,3.20,No,STEM,Male,University coursework related to career development,2,3,3,2,2,2,3,2,2,Yes,Amharic,Lower,2,Entrepreneurship training,No response,It should be regular,Hawassa University
2,CS,18-20,It does not give enough time to learn what you need,3.98,Yes,STEM,Male,Mentorship programs,3,4,4,3,4,4,5,3,3,Yes,Amharic,Lower,3,No response,No response,If a program,AAU
2,CS,18-20,My field of study requires practice in order to master the skill. Different courseworks and people around me helped me gain this skill.,3.60,No,STEM,Female,University coursework related to career development,3,3,3,1,1,4,4,3,3,No,English,Lower,5,No response,No response,It would be helpful if it could be more interactive and addressed the students query.,HiLCoE College
2,CS,18-20,"To begin with, the internship programs that I took and the job fair programs that I attended helped me to decide which path should I take in my life. I specifically attended programs that will help me choose the future carrier that I wanted, so it extremely helped me to make up my mind greatly and that I didn't mistake my my passion. Furthermore the mentorship program help me to recognize the ways that I should behave around people and also how I can lead my life and my carrier separately and how to be effective in life.",3.30,Yes,STEM,Female,Mentorship programs,4,1,1,5,5,5,4,4,4,No,English,Lower,3,"Internships, job shadowing and so on","Internships, job shadowing and so on", In my university carrier guidance services is in Moderate shape. It is not so much to talk about but it is not also nothing to talk about .They must start inviting some successful aluminous so that they can share their Journey with us. Additionally i think that they probably should start active mentorship programs and peer to peer discussion program so that not only experiences from someone successful but also someone equal as your experience can share what they know.,Hawassa University
2,CS,18-20,"While I haven’t had formal internship experience yet, my academic journey has been shaped by various projects and coursework that have sparked my interest in cyber analysis and web development. I have a solid understanding of the basics of cyber analysis, which has provided me with insights into security principles and risk management. Additionally, I am currently taking a web development course that I plan to complete within a month, enhancing my technical skills in HTML, CSS, and JavaScript. Engaging in class discussions and group projects has helped me develop essential skills like problem-solving and teamwork, which I believe will be valuable in a professional setting. These experiences have clarified my career goals and motivated me to seek opportunities like this internship to gain practical experience and further explore my interests. I am eager to learn and contribute, and I see this internship as a crucial step in my academic and professional development.",3.50,No,STEM,Female,Searching professionals through social networks,4,2,4,4,3,3,4,3,3,No,English,Lower,3,No response,No response,"I believe the university could enhance its career guidance services by providing more structured internship opportunities for students. This could include partnerships with local businesses and organizations to create a robust internship program that connects students with relevant industry experiences. Additionally, offering workshops on resume writing, interview preparation, and networking skills would equip students with the tools needed to succeed in the job market. Creating a platform for students to share their internship experiences and insights could also foster a sense of community and support among peers. Overall, these improvements would greatly aid students in navigating their career paths and gaining practical experience.",HiLCoE College
2,CS,21-23,Hard times create though men !,3.00,No,STEM,Male,Internships,4,5,1,4,2,3,1,1,2,No,English,Lower,3,No response,No response,To try to provide a real value instead of promises,Jimma University
2,CS,21-23,I Started Persuing Computer Science as a Career Choice Because of the fact that the Tech Industry is an always growing industry since we as human being want our life to be simple and the Tech is the big player in this.,3.60,Yes,STEM,Male,"University coursework related to career development, Searching professionals through social networks",4,1,1,5,4,5,3,3,3,No,English,Lower,4,No response,No response,"Updated perception of what the market really want, mostly their guidance is based on outdated realities.",St. Mary's  University
2,CS,21-23,These experiences helped me see my potential and choose a better career to enhance it.,3.80,No,STEM,Female,"Job shadowing, Mentorship programs, University coursework related to career development, Volunteer activities",3,2,3,5,5,5,5,3,2,No,English,Lower,5,"More volunteer and club activities, as well as active career guidance",No response,More genuine and active services should be provided,AAU
2,CS,27 and above,No response,2.70,Yes,STEM,Male,Internships,1,1,1,2,3,3,3,4,4,Yes,English,Lower,4,Make  platform were student and university community share thier kNo responsewledges.,Make  platform were student and university community share thier knowledges.,May be it must be uptodated,AAU
2,CSE,21-23,It has been very pressuring,3.00,No,STEM,Male,"Job shadowing, Mentorship programs, University coursework related to career development",4,5,5,4,4,3,3,4,4,Yes,Amharic,Lower,4,Practical yehone negr,Practical yehone negr,Practical bihonu,ASTU
2,Degree,21-23,they truly were a game changing n shaping my career since we don't know how the workplace and the outside world works in only schools it was really essential to participate in such like programs.,3.68,No,Other,Male,"InternshipsMentorship programs, University coursework related to career development",2,1,1,4,2,4,4,4,4,No,English,Lower,5,No response,No response,it's overall good,Hawassa University
2,ECE,18-20,No responset quite really that influential except for my mentors,3.55,Yes,Other,Male,"University coursework related to career development, Searching professionals through social networks",3,2,1,1,3,4,3,2,1,No,English,Lower,2,No response,No response,To be honest it's just better to say we do not have a career guidance provided to help us in any way,AASTU
2,Economics,18-20,No response,4.00,No,STEM,Female,"InternshipsJob shadowing, Searching professionals through social networks",1,2,2,5,5,1,3,1,1,No,English,Lower,5,Extracurricular support,Extracurricular support,For them to care about students.,AAU
2,Economics,21-23,Because it had an influence on me I did learn a lot from it,3.70,No,STEM,Male,University coursework related to career development,1,2,2,1,3,1,3,1,1,Yes,Amharic,Lower,1,Versat,Versat,skillful,Jinka University
2,Educational planning and management,21-23,Good,3.00,No,Business & Economics,Male,"InternshipsJob shadowing, Mentorship programs, University coursework related to career development, Searching professionals through social networks",1,1,1,1,1,1,1,1,1,Yes,English,Lower,1,University opportunities is better choice,No response,Likes,Haramaya University
2,Electrical and computer egineering,18-20,The choice best be in its own  feeling,3.01,Yes,STEM,Male,University coursework related to career development,2,1,1,2,1,2,3,1,1,Yes,English,Lower,2,Best way,No response,Not best and you must be practice best ways,Hawassa University
2,Electronics and Communication Engineering,18-20,"While my academic grades weren’t perfect, my passion for technology and programming has always driven my choices. Internships played a pivotal role in translating theory into hands-on practice, deepening my understanding of automation and problem-solving. I’ve been lucky to have supportive friends and family who encouraged my exploration without enforcing a specific path, allowing me to genuinely discover what I love. Attending career fairs and mentorship programs helped me map out opportunities in tech and gave me insight into different roles and paths I hadn’t considered before. Together, these experiences shaped both my academic interests and my determination to pursue a future in technology.",2.65,No,STEM,Female,University coursework related to career development,4,3,3,3,4,4,3,2,2,Yes,English,Lower,4,No response,No response,preparing career conferences,ASTU
2,Engineering,18-20,"Since I have a profoud love for programming and stuff, I am self-learned and passionated by my own interests. Clearly for my kind of situation, building my potentials by learning online courses, engaging with programs like internships is indeed a must to capture things around me and be active.",3.90,No,STEM,Male,Internships,1,3,2,3,2,2,2,2,2,Yes,English,Lower,3,By building a student clubs so that students can gain experience from seniors,By building a student clubs so that students can gain experience from seniors,I think it is best that every field should refine students by COC in a way that every students are well-driven to their goals not just because of the scores they have.,AAU
2,Engineering,18-20,"These experiences have helped me understand what different engineering jobs are like and what skills they need. This has guided me in choosing the right courses and getting involved in university activities. As a freshman, it's also encouraged me to use my summers to explore jobs that interest me and build useful experience.",3.50,Yes,STEM,Female,"Career fairs, University coursework related to career development",3,2,3,4,4,3,4,4,3,Yes,English,Lower,2,"Fliers for those who can’t reach out in person seminars 
Table orientations for different careers","Fliers for those who can’t reach out in person seminars 
Table orientations for different careers","I believe only those who are interested in career guidance use it, so I suggest motivating others who are not interested to take advantage of it. After all, it's important for the country’s development, as it provides multiple pathways for work and opportunities if more people use these services..",AASTU
2,Engineering,21-23,It is skill,3.60,Yes,STEM,Male,"Mentorship programs, University coursework related to career development, Searching professionals through social networks",5,4,4,5,4,3,5,3,4,No,Amharic,Lower,3,No response,No response,To be too busy,Mekelle University
2,Governance and development studies,21-23,It is a problem of information and use of information,3.20,Yes,Other,Male,Mentorship programs,4,1,2,5,4,3,3,3,4,Yes,Amharic,Lower,3,No response,No response,Let me discipline myself properly,BahirDar University
2,Information Science,21-23,Find job,3.20,Yes,Other,Male,Web developed,4,4,4,3,4,3,4,4,4,Yes,English,Lower,4,No response,No response,It good,Jimma University
2,Information Science/Information Systemss,21-23,My family didn't want me to get into engineering because my father has been jobless for a while because of it. The career fairs are mostly for social fields but they show how the market currently is and what types of digital softwares they use which can give me an edge as a technological entrepreneur or freelancer.,3.30,No,STEM,Male,"Career fairs, University coursework related to career development",3,4,2,2,1,1,4,1,2,No,English,Lower,1,Immersive learning. Whether it's management or software engineering I wish that they taught the concepts with real world examples where we can try and fail and see how it actually works. If No responset it's only just theory and we'll only be memorizing.,No response,I have never been informed or got the knowledge that our university offered career guidance services. This and other opportunities offered by the university are not clearly mentioned to the students.,AAU
2,Information Systems,18-20,"My career choices have been significantly influenced by a combination of  job shadowing, mentorship programs,  university coursework, and the small support of my family and friends.",2.87,Yes,STEM,Male,Mentorship programs,4,3,1,4,4,5,2,1,3,No,English,Lower,3,"if they Create opportunities for students to work on real-world projects in collaboration with companies, allowing them to apply their skills in practical settings i think that would be great!",No response,"Offer tailored one-on-one sessions to address individual student needs and career goals. and also if they Collaborate with local businesses and organizations to create more internship placements, providing students with hands-on experience.",Hawassa University
2,Information Systems,18-20,Personal feeling lead me to chose this,3.57,No,STEM,Male,Mentorship programs,4,3,3,4,4,4,3,3,2,Yes,English,Lower,4,No response,No response,Engagement and promotion is needed,AAU
